price_per_unit,id,product_name,vendor
$2.47/100g,5281,Evive Organic Frozen Smoothie Cubes Touk-Touk 405 g,Voila
$2.22/100g,5281,Evive Organic Frozen Smoothie Cubes Touk-Touk 405 g,Voila
$1.61/100g,5324,Cheerios Vanilla Spice Breakfast Cereal Whole Grains 342 g,Voila
$1.46/100g,5324,Cheerios Vanilla Spice Breakfast Cereal Whole Grains 342 g,Voila
$1.17/100g,5324,Cheerios Vanilla Spice Breakfast Cereal Whole Grains 342 g,Voila
$1.55/100g,5328,Cinnamon Toast Crunch Cereal Whole Grains and Real Cinnamon 354 g,Voila
$1.12/100g,5328,Cinnamon Toast Crunch Cereal Whole Grains and Real Cinnamon 354 g,Voila
$1.41/100g,5328,Cinnamon Toast Crunch Cereal Whole Grains and Real Cinnamon 354 g,Voila
$1.81/100g,5331,General Mills Breakfast Cereal Cinnamon Toast Crunch Rolls Whole Grains 303 g,Voila
$1.31/100g,5331,General Mills Breakfast Cereal Cinnamon Toast Crunch Rolls Whole Grains 303 g,Voila
$1.32/100g,5331,General Mills Breakfast Cereal Cinnamon Toast Crunch Rolls Whole Grains 303 g,Voila
$1.38/100g,5332,General Mills Oatmeal Crisp Cereal Triple Berry High Fibre and Whole Grains 399 g,Voila
$0.99/100g,5332,General Mills Oatmeal Crisp Cereal Triple Berry High Fibre and Whole Grains 399 g,Voila
$1.25/100g,5332,General Mills Oatmeal Crisp Cereal Triple Berry High Fibre and Whole Grains 399 g,Voila
$1.00/100g,5332,General Mills Oatmeal Crisp Cereal Triple Berry High Fibre and Whole Grains 399 g,Voila
$1.76/100g,5333,Kashi Organic Cereal Honey Oat 340 g,Voila
$1.62/100g,5347,Kellogg's Cinnabon Cereal Cinnamon Roll 247 g,Voila
$2.02/100g,5347,Kellogg's Cinnabon Cereal Cinnamon Roll 247 g,Voila
$1.77/100g,5361,"Nature Valley Protein Granola Cereal, Oats 'n Honey 310 g",Voila
$1.28/100g,5361,"Nature Valley Protein Granola Cereal, Oats 'n Honey 310 g",Voila
$1.61/100g,5361,"Nature Valley Protein Granola Cereal, Oats 'n Honey 310 g",Voila
$1.66/100g,5399,Reese's Puffs Minis Breakfast Cereal Peanut Butter Chocolate Whole Grains 331 g,Voila
$1.20/100g,5399,Reese's Puffs Minis Breakfast Cereal Peanut Butter Chocolate Whole Grains 331 g,Voila
$1.51/100g,5399,Reese's Puffs Minis Breakfast Cereal Peanut Butter Chocolate Whole Grains 331 g,Voila
$1.21/100g,5399,Reese's Puffs Minis Breakfast Cereal Peanut Butter Chocolate Whole Grains 331 g,Voila
$1.10/100g,5474,General Mills Cereal Cinnamon Toast Crunch Whole Grains Family Size 591 g,Voila
$1.03/100g,5475,General Mills Oatmeal Crisp Cereal Almond High Fibre Family Size 628 g,Voila
$0.87/100g,5475,General Mills Oatmeal Crisp Cereal Almond High Fibre Family Size 628 g,Voila
$0.95/100g,5475,General Mills Oatmeal Crisp Cereal Almond High Fibre Family Size 628 g,Voila
$0.98/100g,5510,Kellogg's Mini Wheats Cereal Brown Sugar 510 g,Voila
$0.78/100g,5510,Kellogg's Mini Wheats Cereal Brown Sugar 510 g,Voila
$0.88/100g,5510,Kellogg's Mini Wheats Cereal Brown Sugar 510 g,Voila
$0.98/100g,5512,Kellogg's Mini Wheats Cereal Regular 510 g,Voila
$0.78/100g,5512,Kellogg's Mini Wheats Cereal Regular 510 g,Voila
$1.23/100g,5541,Lucky Charms Cereal Marshmallows Whole Grains Family Size 526 g,Voila
$2.80/100g,5608,Yumi Organics Overnight Oats Apple Cinnamon 250 g,Voila
$2.49/100g,5616,Al Fez Vegan Cooking Paste Tahini Natural 160 g,Voila
$1.33/100g,5782,Nutella Hazelnut Spread 375 g,Voila
$1.10/100g,5783,Nutella Hazelnut Spread with Cocoa 725 g,Voila
$1.24/100g,5849,Christie Dad's Cookies Oatmeal Chocolate Chip  305 g,Voila
